    （000001）华夏成长 | 基金吧 | 档案
    （000088）嘉实中证金边国债ETF联接 | 基金吧 | 档案
    （000089）民生加银家盈理财月度A | 基金吧 | 档案
    （000090）民生加银家盈理财月度B | 基金吧 | 档案
    （000091）信诚新双盈分级债券 | 基金吧 | 档案
    （000092）信诚新双盈分级债券A | 基金吧 | 档案
    （000093）信诚新双盈分级债券B | 基金吧 | 档案
    （000103）国泰中国企业境外高收益债券 | 基金吧 | 档案
    （000104）华宸信用增利债券 | 基金吧 | 档案
    （000105）建信安心回报债券A | 基金吧 | 档案
    （000106）建信安心回报债券C | 基金吧 | 档案
    （000107）富国稳健增强债券A/B | 基金吧 | 档案
    （000109）富国稳健增强债券C | 基金吧 | 档案
    （000110）金鹰元安保本混合A | 基金吧 | 档案
    （000111）易方达纯债1年定开债券A | 基金吧 | 档案
    （000112）易方达纯债1年定开债券C | 基金吧 | 档案
    （000113）嘉实如意宝定期债券A | 基金吧 | 档案
    （000115）嘉实如意宝定期债券C | 基金吧 | 档案
    （000116）嘉实丰益纯债定期债券 | 基金吧 | 档案
    （000117）广发轮动配置混合 | 基金吧 | 档案
    （000118）广发聚鑫债券A | 基金吧 | 档案
    （000119）广发聚鑫债券C | 基金吧 | 档案
    （000120）中银美丽中国混合 | 基金吧 | 档案
    （000121）华夏永福养老理财混合A | 基金吧 | 档案
    （000122）汇添富实业债债券A | 基金吧 | 档案
    （000123）汇添富实业债债券C | 基金吧 | 档案
    （000124）华宝服务优选混合 | 基金吧 | 档案
    （000125）上投摩根天颐年丰混合A | 基金吧 | 档案
    （000126）招商安润保本混合 | 基金吧 | 档案
    （000127）农银行业领先混合 | 基金吧 | 档案
    （000128）大成景安短融债券A | 基金吧 | 档案
    （000129）大成景安短融债券B | 基金吧 | 档案
    （000130）大成景兴信用债债券A | 基金吧 | 档案
    （000131）大成景兴信用债债券C | 基金吧 | 档案
    （000136）民生加银策略精选混合 | 基金吧 | 档案
    （000137）民生加银岁岁增利A | 基金吧 | 档案
    （000138）民生加银岁岁增利C | 基金吧 | 档案
    （000139）富国国有企业债债券A | 基金吧 | 档案
    （000141）富国国有企业债C级 | 基金吧 | 档案
    （000142）融通通泰保本混合A | 基金吧 | 档案
    （000143）鹏华双债加利债券 | 基金吧 | 档案
    （000147）易方达高等级信用债A | 基金吧 | 档案
    （000148）易方达高等级信用债C | 基金吧 | 档案
    （000149）华安双债添利债券A | 基金吧 | 档案
    （000150）华安双债添利债券C | 基金吧 | 档案
    （000151）诺安信用一年定开债券 | 基金吧 | 档案
    （000152）大成景旭纯债A | 基金吧 | 档案
    （000153）大成景旭纯债C | 基金吧 | 档案
    （000165）国投瑞银策略精选混合 | 基金吧 | 档案
    （000166）中海安鑫保本 | 基金吧 | 档案
    （000167）广发聚优灵活配置混合A | 基金吧 | 档案
    （000169）泰达收益增强债券A | 基金吧 | 档案
    （000170）泰达收益增强债券B | 基金吧 | 档案
    （000171）易方达裕丰回报债券 | 基金吧 | 档案
    （000172）华泰柏瑞量化增强混合A | 基金吧 | 档案
    （000173）汇添富美丽30混合 | 基金吧 | 档案
    （000174）汇添富高息债债券A | 基金吧 | 档案
    （000175）汇添富高息债债券C | 基金吧 | 档案
    （000176）嘉实沪深300指数研究增强 | 基金吧 | 档案
    （000177）嘉实丰益信用定期债券A | 基金吧 | 档案
    （000178）博时灵活配置混合A | 基金吧 | 档案
    （000179）广发美国房地产指数 | 基金吧 | 档案
    （000180）广发美国房地产指数现汇 | 基金吧 | 档案
    （000181）景顺长城四季金利债券A | 基金吧 | 档案
    （000182）景顺长城四季金利债券C | 基金吧 | 档案
    （000183）嘉实丰益策略定期债券 | 基金吧 | 档案
    （000184）工银添福债券A | 基金吧 | 档案
    （000185）工银添福债券B | 基金吧 | 档案
    （000186）华泰柏瑞季季红债券 | 基金吧 | 档案
    （000187）华泰柏瑞丰盛纯债债券A | 基金吧 | 档案
    （000188）华泰柏瑞丰盛纯债债券C | 基金吧 | 档案
    （000189）易方达保本一号混合 | 基金吧 | 档案
    （000190）中银新回报灵活配置混合 | 基金吧 | 档案
    （000191）富国信用债债券A | 基金吧 | 档案
    （000192）富国信用债债券C | 基金吧 | 档案
    （000193）国泰美国房地产开发股票 | 基金吧 | 档案
    （000194）银华信用四季红债券 | 基金吧 | 档案
    （000195）工银保本3号混合A | 基金吧 | 档案
    （000196）工银保本3号混合B | 基金吧 | 档案
    （000197）富国目标收益一年期纯债债券 | 基金吧 | 档案
    （000198）天弘余额宝货币 | 基金吧 | 档案
    （000199）国泰策略收益灵活配置混合 | 基金吧 | 档案
    （000200）博时岁岁增利一年定开债券 | 基金吧 | 档案
    （000201）诺安泰鑫一年定期开放债券A | 基金吧 | 档案
    （000202）富国目标收益两年期纯债债券 | 基金吧 | 档案
    （000203）国富日日收益货币A | 基金吧 | 档案
    （000204）国富日日收益货币B | 基金吧 | 档案
    （000205）易方达投资级信用债债券A | 基金吧 | 档案
    （000206）易方达投资级信用债债券C | 基金吧 | 档案
    （000207）建信双债增强债券A | 基金吧 | 档案
    （000208）建信双债增强债券C | 基金吧 | 档案
    （000209）信诚新兴产业混合 | 基金吧 | 档案
    （000210）光大保德信现金宝货币A | 基金吧 | 档案
    （000211）光大保德信现金宝货币B | 基金吧 | 档案
    （000212）泰信鑫益定期开放债券A | 基金吧 | 档案
    （000213）泰信鑫益定期开放债券C | 基金吧 | 档案
    （000214）广发成长优选混合 | 基金吧 | 档案
    （000215）广发趋势优选灵活配置 | 基金吧 | 档案
    （000216）华安黄金易ETF联接A | 基金吧 | 档案
    （000217）华安黄金易ETF联接C | 基金吧 | 档案
    （000218）国泰黄金ETF联接 | 基金吧 | 档案
    （000219）博时裕益灵活配置 | 基金吧 | 档案
    （000220）富国医疗保健行业混合 | 基金吧 | 档案
    （000221）汇添富年年利定期开放债券A | 基金吧 | 档案
    （000222）汇添富年年利定期开放债券C | 基金吧 | 档案
    （000225）长盛年年收益定期开放债券A | 基金吧 | 档案
    （000226）长盛年年收益定期开放债券C | 基金吧 | 档案
    （000227）华安年年红债券A | 基金吧 | 档案
    （000235）诺安稳固收益一年定开债券 | 基金吧 | 档案
    （000236）工银月月薪定期支付债券A | 基金吧 | 档案
    （000237）国投瑞银一年定期开放债A | 基金吧 | 档案
    （000238）国投瑞银一年定期开放债C | 基金吧 | 档案
    （000239）华安年年盈定开债A | 基金吧 | 档案
    （000240）华安年年盈定开债C | 基金吧 | 档案
    （000241）宝盈核心优势混合C | 基金吧 | 档案
    （000242）景顺长城策略精选 | 基金吧 | 档案
    （000244）天弘稳利定期开放债券A | 基金吧 | 档案
    （000245）天弘稳利定期开放债券B | 基金吧 | 档案
    （000246）博时月月薪定期支付债券 | 基金吧 | 档案
    （000247）方正富邦互利债券 | 基金吧 | 档案
    （000248）汇添富中证主要消费ETF联接 | 基金吧 | 档案
    （000251）工银金融地产混合 | 基金吧 | 档案
    （000252）景顺长城景兴信用纯债A | 基金吧 | 档案
    （000253）景顺长城景兴信用纯债C | 基金吧 | 档案
    （000254）长城增强收益定开债券A | 基金吧 | 档案
    （000255）长城增强收益定开债券C | 基金吧 | 档案
    （000256）上投摩根红利回报混合A | 基金吧 | 档案
    （000257）上投岁岁盈定开债券A | 基金吧 | 档案
    （000258）上投岁岁盈定开债券C | 基金吧 | 档案
    （000259）农银区间收益混合 | 基金吧 | 档案
    （000260）信诚季季定期支付债券 | 基金吧 | 档案
    （000263）工银信息产业混合 | 基金吧 | 档案
    （000264）博时内需增长混合 | 基金吧 | 档案
    （000265）易方达恒久添利1年定开债券 | 基金吧 | 档案
    （000266）易方达恒久添利1年定开债券 | 基金吧 | 档案
    （000267）广发集利一年定期开放债券A | 基金吧 | 档案
    （000268）广发集利一年定期开放债券C | 基金吧 | 档案
    （000270）建信安心保本混合 | 基金吧 | 档案
    （000271）中邮定期开放债券A | 基金吧 | 档案
    （000272）中邮定期开放债券C | 基金吧 | 档案
    （000273）华润元大安鑫灵活配置混合 | 基金吧 | 档案
    （000274）广发亚太中高收益债券 | 基金吧 | 档案
    （000275）广发亚太中高收益债券现汇 | 基金吧 | 档案
    （000277）博时双月薪定期支付债券 | 基金吧 | 档案
    （000278）融通通泽灵活配置混合 | 基金吧 | 档案
    （000279）华商红利优选灵活配置 | 基金吧 | 档案
    （000280）博时双债增强债券A | 基金吧 | 档案
    （000281）博时双债增强债券C | 基金吧 | 档案
    （000286）银华信用季季红债券 | 基金吧 | 档案
    （000287）银华永利债券A | 基金吧 | 档案
    （000288）银华永利债券C | 基金吧 | 档案
    （000289）鹏华丰泰定期开放债券A | 基金吧 | 档案
    （000290）鹏华全球高收益债 | 基金吧 | 档案
    （000291）鹏华丰信分级债券 | 基金吧 | 档案
    （000292）鹏华丰信分级债券A | 基金吧 | 档案
    （000293）鹏华丰信分级债券B | 基金吧 | 档案
    （000294）华安生态优先混合 | 基金吧 | 档案
    （000295）鹏华丰实定期开放债券A | 基金吧 | 档案
    （000296）鹏华丰实定期开放债券B | 基金吧 | 档案
    （000297）鹏华可转债债券 | 基金吧 | 档案
    （000298）中海纯债债券A | 基金吧 | 档案
    （000299）中海纯债债券C | 基金吧 | 档案
    （000300）德邦德利货币A | 基金吧 | 档案
    （000301）德邦德利货币B | 基金吧 | 档案
    （000302）国泰淘金互联网债券 | 基金吧 | 档案
    （000303）长盛双月红定期债券A | 基金吧 | 档案
    （000304）长盛双月红定期债券C | 基金吧 | 档案
    （000305）中银中高等级债券 | 基金吧 | 档案
    （000306）天弘弘利债券 | 基金吧 | 档案
    （000307）易方达黄金ETF联接A | 基金吧 | 档案
    （000308）建信创新中国混合 | 基金吧 | 档案
    （000309）大摩品质生活股票 | 基金吧 | 档案
    （000310）安信永利信用A | 基金吧 | 档案
    （000311）景顺长城沪深300增强 | 基金吧 | 档案
    （000312）华安沪深300增强A | 基金吧 | 档案
    （000313）华安沪深300增强C | 基金吧 | 档案
    （000314）招商瑞丰灵活配置混合发起式 | 基金吧 | 档案
    （000316）中海惠利纯债分级债券 | 基金吧 | 档案
    （000317）中海惠利纯债分级债券A | 基金吧 | 档案
    （000318）中海惠利纯债分级债券B | 基金吧 | 档案
    （000319）泰达淘利债券A | 基金吧 | 档案
    （000320）泰达淘利债券B | 基金吧 | 档案
    （000322）农银14天理财A | 基金吧 | 档案
    （000323）农银14天理财B | 基金吧 | 档案
    （000324）华润元大现金收益货币A | 基金吧 | 档案
    （000325）华润元大现金收益货币B | 基金吧 | 档案
    （000326）南方顺达 | 基金吧 | 档案
    （000327）南方丰合 | 基金吧 | 档案
    （000328）上投摩根转型动力 | 基金吧 | 档案
    （000329）鹏华丰饶定开债 | 基金吧 | 档案
    （000330）汇添富现金宝货币 | 基金吧 | 档案
    （000331）中加货币A | 基金吧 | 档案
    （000332）中加货币C | 基金吧 | 档案
    （000333）长城稳固收益债券A | 基金吧 | 档案
    （000334）长城稳固收益债券C | 基金吧 | 档案
    （000335）安信永利信用C | 基金吧 | 档案
    （000336）农银研究精选 | 基金吧 | 档案
    （000338）鹏华双债保利债券 | 基金吧 | 档案
    （000339）长城医疗保健混合 | 基金吧 | 档案
    （000341）嘉实新兴市场C2(QDII | 基金吧 | 档案
    （000342）嘉实新兴市场A1(QDII | 基金吧 | 档案
    （000343）华夏财富宝货币A | 基金吧 | 档案
    （000345）鹏华丰融定期开放债券 | 基金吧 | 档案
    （000346）建信安心回报两年定开债券A | 基金吧 | 档案
    （000347）建信安心回报两年定开债券C | 基金吧 | 档案
    （000351）国富恒丰定期债券A | 基金吧 | 档案
    （000352）国富恒丰定期债券C | 基金吧 | 档案
    （000354）长盛城镇化主题混合 | 基金吧 | 档案
    （000355）南方丰元A | 基金吧 | 档案
    （000356）南方丰元C | 基金吧 | 档案
    （000359）易方达易理财货币 | 基金吧 | 档案
    （000360）信诚年年有余A | 基金吧 | 档案
    （000361）信诚年年有余B | 基金吧 | 档案
    （000362）国泰聚信价值优势灵活配置A | 基金吧 | 档案
    （000363）国泰聚信价值优势灵活配置C | 基金吧 | 档案
    （000366）汇添富添富通货币A | 基金吧 | 档案
    （000367）国泰安康养老定期支付混合A | 基金吧 | 档案
    （000368）汇添富沪深300安中指数 | 基金吧 | 档案
    （000369）广发全球医疗保健现钞 | 基金吧 | 档案
    （000370）广发全球医疗保健现汇 | 基金吧 | 档案
    （000371）民生加银现金宝货币 | 基金吧 | 档案
    （000372）中银惠利半年定期开放债券 | 基金吧 | 档案
    （000373）华安中证细分医药ETF联接A | 基金吧 | 档案
    （000376）华安中证细分医药ETF联接 | 基金吧 | 档案
    （000377）上投双债增利A | 基金吧 | 档案
    （000378）上投双债增利C | 基金吧 | 档案
    （000379）平安大华日增利货币 | 基金吧 | 档案
    （000380）景顺长城景益货币A | 基金吧 | 档案
    （000381）景顺长城景益货币B | 基金吧 | 档案
    （000385）景顺长城景颐双利债券A | 基金吧 | 档案
    （000386）景顺长城景颐双利债券C | 基金吧 | 档案
    （000387）泰达宏利瑞利债券A | 基金吧 | 档案
    （000388）泰达宏利瑞利债券B | 基金吧 | 档案
    （000389）广发天天红货币A | 基金吧 | 档案
    （000390）华商优势行业 | 基金吧 | 档案
    （000394）融通通源短融债券A | 基金吧 | 档案
    （000395）汇添富安心中国债券A | 基金吧 | 档案
    （000396）汇添富安心中国债券C | 基金吧 | 档案
    （000397）汇添富全额宝货币 | 基金吧 | 档案
    （000398）华富灵活配置混合 | 基金吧 | 档案
    （000400）中融增鑫定期开放债券A | 基金吧 | 档案
    （000401）中融增鑫定期开放债券C | 基金吧 | 档案
    （000402）工银纯债债券A | 基金吧 | 档案
    （000403）工银纯债债券B | 基金吧 | 档案
    （000404）易方达新兴成长灵活配置 | 基金吧 | 档案
    （000405）信诚月月支付 | 基金吧 | 档案
    （000406）汇添富双利增强债券A | 基金吧 | 档案
    （000407）汇添富双利增强债券C | 基金吧 | 档案
    （000408）民生加银城镇化混合 | 基金吧 | 档案
    （000409）鹏华环保产业股票 | 基金吧 | 档案
    （000410）益民服务领先混合 | 基金吧 | 档案
    （000411）景顺长城优质成长 | 基金吧 | 档案
    （000412）国开岁月鎏金定开信用债A | 基金吧 | 档案
    （000413）国开岁月鎏金定开信用债C | 基金吧 | 档案
    （000414）嘉实绝对收益策略定期混合 | 基金吧 | 档案
    （000415）大摩添利18个月开放债券A | 基金吧 | 档案
    （000416）大摩添利18个月开放债券C | 基金吧 | 档案
    （000417）国联安新精选灵活配置 | 基金吧 | 档案
    （000418）景顺长城成长之星 | 基金吧 | 档案
    （000419）大摩优质信价纯债A | 基金吧 | 档案
    （000420）大摩优质信价纯债C | 基金吧 | 档案
    （000421）华泰柏瑞丰汇债券A | 基金吧 | 档案
    （000422）华泰柏瑞丰汇债券C | 基金吧 | 档案
    （000423）前海开源事件驱动混合A | 基金吧 | 档案
    （000424）长盛添利宝货币A | 基金吧 | 档案
    （000425）长盛添利宝货币B | 基金吧 | 档案
    （000426）大成信用增利一年定开债券A | 基金吧 | 档案
    （000427）大成信用增利一年定开债券C | 基金吧 | 档案
    （000428）易方达聚盈分级债券发起式 | 基金吧 | 档案
    （000429）易方达聚盈分级债券发起式A | 基金吧 | 档案
    （000430）易方达聚盈分级债券发起式B | 基金吧 | 档案
    （000431）鹏华品牌传承混合 | 基金吧 | 档案
    （000432）中银优秀企业混合 | 基金吧 | 档案
    （000433）安信鑫发优选混合 | 基金吧 | 档案
    （000434）新华壹诺宝货币A | 基金吧 | 档案
    （000435）建信稳定添利债券A | 基金吧 | 档案
    （000436）易方达裕惠定开混合发起式 | 基金吧 | 档案
    （000437）融通月月添利定开债券A | 基金吧 | 档案
    （000438）融通月月添利定开债券B | 基金吧 | 档案
    （000439）国金鑫盈货币 | 基金吧 | 档案
    （000452）南方医保 | 基金吧 | 档案
    （000457）上投摩根核心成长 | 基金吧 | 档案
    （000458）英大领先回报发起式 | 基金吧 | 档案
    （000462）农银主题轮动混合 | 基金吧 | 档案
    （000463）华商双债丰利债券A | 基金吧 | 档案
    （000464）嘉实活期宝货币 | 基金吧 | 档案
    （000465）景顺长城鑫月薪定期支付债券 | 基金吧 | 档案
    （000466）融通通瑞债券A/B | 基金吧 | 档案
    （000467）信诚惠报债券A | 基金吧 | 档案
    （000469）富国目标齐利一年期纯债债券 | 基金吧 | 档案
    （000471）富国城镇发展股票 | 基金吧 | 档案
    （000473）广发集鑫债券A | 基金吧 | 档案
    （000474）广发集鑫债券C | 基金吧 | 档案
    （000475）广发天天利货币A | 基金吧 | 档案
    （000476）广发天天利货币B | 基金吧 | 档案
    （000477）广发主题领先混合 | 基金吧 | 档案
    （000478）建信中证500指数增强 | 基金吧 | 档案
    （000479）信诚惠报债券B | 基金吧 | 档案
    （000480）东方红新动力混合 | 基金吧 | 档案
    （000481）华商双债丰利债券C | 基金吧 | 档案
    （000483）鑫元货币A | 基金吧 | 档案
    （000484）鑫元货币B | 基金吧 | 档案
    （000485）嘉实1个月理财债券A | 基金吧 | 档案
    （000486）嘉实1个月理财债券E | 基金吧 | 档案
    （000487）嘉实3个月理财债券A | 基金吧 | 档案
    （000488）嘉实3个月理财债券E | 基金吧 | 档案
    （000489）光大保德信岁末红利纯债A | 基金吧 | 档案
    （000490）光大保德信岁末红利纯债C | 基金吧 | 档案
    （000493）南方现金通货币A | 基金吧 | 档案
    （000494）南方现金通货币B | 基金吧 | 档案
    （000495）南方现金通货币C | 基金吧 | 档案
    （000496）长安产业精选混合A | 基金吧 | 档案
    （000497）财通纯债债券 | 基金吧 | 档案
    （000500）华富恒富分级债券 | 基金吧 | 档案
    （000501）华富恒富分级债券A | 基金吧 | 档案
    （000502）华富恒富分级债券B | 基金吧 | 档案
    （000503）中信建投稳信一年A | 基金吧 | 档案
    （000504）中信建投稳信一年C | 基金吧 | 档案
    （000505）国寿安保货币A | 基金吧 | 档案
    （000506）国寿安保货币B | 基金吧 | 档案
    （000507）泰达宏利养老混合A | 基金吧 | 档案
    （000508）泰达宏利养老混合B | 基金吧 | 档案
    （000509）广发钱袋子货币 | 基金吧 | 档案
    （000510）诺安永鑫收益一年定开债券 | 基金吧 | 档案
    （000511）国泰国策驱动灵活配置混合A | 基金吧 | 档案
    （000512）国泰结构转型灵活配置混合A | 基金吧 | 档案
    （000513）富国高端制造行业股票 | 基金吧 | 档案
    （000520）上银新兴价值成长混合 | 基金吧 | 档案
    （000522）华润元大信息传媒科技混合 | 基金吧 | 档案
    （000523）国投瑞银医疗保健混合 | 基金吧 | 档案
    （000524）上投摩根民生需求 | 基金吧 | 档案
    （000526）国泰浓益灵活配置混合A | 基金吧 | 档案
    （000527）南方新优享 | 基金吧 | 档案
    （000528）工银薪金货币A | 基金吧 | 档案
    （000529）广发竞争优势混合 | 基金吧 | 档案
    （000530）招商丰盛稳定增长混合A | 基金吧 | 档案
    （000531）东吴阿尔法灵活配置混合 | 基金吧 | 档案
    （000532）景顺长城优势企业混合 | 基金吧 | 档案
    （000533）永赢货币 | 基金吧 | 档案
    （000534）长盛高端装备制造灵活配置 | 基金吧 | 档案
    （000535）长盛航天海工装备灵活配置 | 基金吧 | 档案
    （000536）前海开源可转债债券 | 基金吧 | 档案
    （000538）诺安优势行业混合A | 基金吧 | 档案
    （000539）中银活期宝货币 | 基金吧 | 档案
    （000540）国金金腾通货币A | 基金吧 | 档案
    （000541）华商创新成长灵活配置 | 基金吧 | 档案
    （000542）上银慧财宝货币A | 基金吧 | 档案
    （000543）上银慧财宝货币B | 基金吧 | 档案
    （000545）中邮核心竞争力混合 | 基金吧 | 档案
    （000546）兴业定开债券A | 基金吧 | 档案
    （000547）建信健康民生混合 | 基金吧 | 档案
    （000549）华安大国新经济股票 | 基金吧 | 档案
    （000550）广发新动力混合 | 基金吧 | 档案
    （000551）信诚幸福消费混合 | 基金吧 | 档案
    （000552）中加纯债一年A | 基金吧 | 档案
    （000553）中加纯债一年C | 基金吧 | 档案
    （000554）中国梦基金 | 基金吧 | 档案
    （000556）国投新机遇混合A | 基金吧 | 档案
    （000557）国投新机遇混合C | 基金吧 | 档案
    （000559）诺安天天宝A | 基金吧 | 档案
    （000560）诺安天天宝E | 基金吧 | 档案
    （000561）南方启元A | 基金吧 | 档案
    （000562）南方启元C | 基金吧 | 档案
    （000563）南方通利A | 基金吧 | 档案
    （000564）南方通利C | 基金吧 | 档案
    （000566）华泰柏瑞创新升级混合 | 基金吧 | 档案
    （000567）广发聚祥灵活混合 | 基金吧 | 档案
    （000569）鹏华增值宝货币 | 基金吧 | 档案
    （000571）中邮双动力混合 | 基金吧 | 档案
    （000572）中银多策略混合 | 基金吧 | 档案
    （000573）天弘通利混合 | 基金吧 | 档案
    （000574）宝盈新价值混合 | 基金吧 | 档案
    （000575）兴全添利宝货币 | 基金吧 | 档案
    （000576）中邮货币A | 基金吧 | 档案
    （000577）安信价值精选股票 | 基金吧 | 档案
    （000578）鑫元一年定期开放债券A | 基金吧 | 档案
    （000579）鑫元一年定期开放债券C | 基金吧 | 档案
    （000580）中邮货币B | 基金吧 | 档案
    （000581）嘉实活钱包货币A | 基金吧 | 档案
    （000583）江信聚福 | 基金吧 | 档案
    （000584）新华鑫益灵活配置混合 | 基金吧 | 档案
    （000585）嘉实对冲套利定期混合 | 基金吧 | 档案
    （000586）景顺中小板创业板精选股票 | 基金吧 | 档案
    （000587）大成灵活配置混合 | 基金吧 | 档案
    （000588）招商招钱宝货币A | 基金吧 | 档案
    （000589）光大保德信银发商机混合 | 基金吧 | 档案
    （000590）华安新活力混合 | 基金吧 | 档案
    （000591）中银健康生活混合 | 基金吧 | 档案
    （000592）建信改革红利股票 | 基金吧 | 档案
    （000593）易方达标普消费品指数现汇 | 基金吧 | 档案
    （000594）大摩进取优选股票 | 基金吧 | 档案
    （000595）嘉实泰和混合 | 基金吧 | 档案
    （000596）前海开源中证军工指数A | 基金吧 | 档案
    （000597）中海积极收益混合 | 基金吧 | 档案
    （000598）长盛生态环境主题混合 | 基金吧 | 档案
    （000599）信诚薪金宝货币 | 基金吧 | 档案
    （000600）汇添富和聚宝货币 | 基金吧 | 档案
    （000601）华宝创新优选混合 | 基金吧 | 档案
    （000602）富国收益宝货币 | 基金吧 | 档案
    （000603）易方达创新驱动灵活配置混合 | 基金吧 | 档案
    （000604）银华多利宝货币A | 基金吧 | 档案
    （000605）银华多利宝货币B | 基金吧 | 档案
    （000607）招商招钱宝货币B | 基金吧 | 档案
    （000609）华商新量化灵活配置混合 | 基金吧 | 档案
    （000610）新华阿里一号保本混合 | 基金吧 | 档案
    （000612）华宝生态中国混合 | 基金吧 | 档案
    （000613）国寿安保沪深300指数 | 基金吧 | 档案
    （000614）华安德国30(DAX)联接 | 基金吧 | 档案
    （000615）长城工资宝货币 | 基金吧 | 档案
    （000616）上投摩根优信增利债券A | 基金吧 | 档案
    （000617）上投摩根优信增利债券C | 基金吧 | 档案
    （000618）嘉实薪金宝货币 | 基金吧 | 档案
    （000619）东方红产业升级混合 | 基金吧 | 档案
    （000620）易方达现金增利货币A | 基金吧 | 档案
    （000621）易方达现金增利货币B | 基金吧 | 档案
    （000622）华富恒财分级债券 | 基金吧 | 档案
    （000623）华富恒财分级债券A | 基金吧 | 档案
    （000624）华富恒财分级债券B | 基金吧 | 档案
    （000625）诺安天天宝B | 基金吧 | 档案
    （000626）大成丰财宝货币A | 基金吧 | 档案
    （000627）大成丰财宝货币B | 基金吧 | 档案
    （000628）大成高新技术产业股票 | 基金吧 | 档案
    （000629）圆信永丰纯债A | 基金吧 | 档案
    （000630）圆信永丰纯债C | 基金吧 | 档案
    （000631）中银聚利分级债券 | 基金吧 | 档案
